name,Gender,Face_Diameter,Glass_material,Wire_material,Apparatus,Waterproof,Origin,agency,Price
  CA-MTP-E171L-5EVDF,Đồng hồ nam,40mm,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.710.900đ
  CA-MTP-E171L-2EVDF,Đồng hồ nam,40mm,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.710.900đ
   CA-MTP-1384L-7AVDF,Đồng hồ nam,41mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,1.865.700đ
  AT-61356.45.31,Nam,42mm,Sapphire,Thép không gỉ,Quartz (Điện tử),5ATM,Thụy Sỹ,Atlantic Swiss,15.273.000đ
   CA-MTP-1381D-7AVDF,Đồng hồ nam,40mm,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.466.100đ
  JL-1-1846.1D,Đồng hồ nam,42 mm,Kínhcứng,Thép không gỉ,Automatic,10 ATM,Áo,Jacques lemans,9.108.000đ
  JL-42-2A,Đồng hồ nam,42 mm,Kínhcứng,Dây da chính hãng,Quartz/Pin,10 ATM,Áo,Jacques lemans,5.220.000đ
  JL-42-2B,Đồng hồ nam,42 mm,Kínhcứng,Dây da chính hãng,Quartz/Pin,10 ATM,Áo,Jacques lemans,5.220.000đ
  CA-MTP-1375D-7A2VDF,Đồng hồ nam,42mm,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.865.700đ
  JL-N-215A,Nam,40 mm,perspex(Kínhcứng),Dây da,Quartz (Điện tử),5  ATM,Áo,Jacques lemans,5.193.000đ
   CA-MTP-1374D-7AVDF,Đồng hồ nam,42mm,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.865.700đ
   CA-MTP-1374D-1AVDF,Đồng hồ nam,42mm,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.865.700đ
  CA-MTP-1370D-1A1VDF,Đồng hồ nam,40mm,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.377.000đ
   CA-MTP-1335D-7AVDF,Đồng hồ nam,38,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.287.900đ
   CA-MTP-1335D-2AVDF,Đồng hồ nam,38mm,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.287.900đ
   CA-MTP-1335D-2A2VDF,Đồng hồ nam,41.5mm,Kínhkhoáng,,Quartz (Pin),5ATM,Nhật Bản,Casio,1.287.900đ
   CA-MTP-1335D-1AVDF,Đồng hồ nam,,Kínhkhoáng,,Quartz (Pin),5ATM,,Casio,1.287.900đ
  E-3439.322.20.16.30,Đồng hồ nam,41.7 mm,Sapphire,Thép không gỉ,Automatic,5 ATM,Thụy Sỹ,Epos Swiss,68.670.000đ
   CA-MTP-1275D-1ADF,Đồng hồ nam,37mm,Kínhkhoáng,,Quartz (Pin),3ATM,Nhật Bản,Casio,866.700đ
   CA-MTP-1275D-1A2DF,Đồng hồ nam,36mm,Kínhkhoáng,,Quartz (Pin),3ATM,Nhật Bản,Casio,866.700đ
  E-3435.313.24.26.25 ,Đồng hồ Nam,43.5 mm,Sapphire,Dây da,Máy cơ lên cót bằng tay,5 ATM,Thụy Sỹ,Epos Swiss,55.980.000đ
  CA-MTP-1239D-2AD,Đồng hồ nam,36mm,Kínhkhoáng,,Quartz (Pin),3ATM,Nhật Bản,Casio,1.065.600đ
  CA-MTP-1215A-7ADF,Đồng hồ nam,37.2mm,Kínhkhoáng,,Quartz (Pin),3ATM,Nhật Bản,Casio,977.400đ
   CA-MTP-1170N-9ARDF,Đồng hồ nam,37mm,Kínhkhoáng,,Quartz (Pin),3ATM,Nhật Bản,Casio,1.310.400đ
  AG-G7019 RG-BU,,42 mm,Sapphire,Dây da chính hãng,Quartz/Pin,5 ATM,Singapore,Aries Gold,4.927.500đ
   CA-MTP-1130N-1ARDF,Đồng hồ nam,35.8mm,Kínhkhoáng,,Quartz (Pin),3ATM,Nhật Bản,Casio,1.266.300đ
  CA-EFV-C100L-1AVDF,Đồng hồ nam,46 mm,Kínhkhoáng,Dây da chính hãng,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-600L-2AVUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-600D-2AVUDF,Đồng hồ nam,43mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFV-580L-7AVUDF,Đồng hồ nam,43.8mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
   CA-EFV-550D-1AVUDF,Đồng hồ nam,47mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
